[10:51:54.764] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[10:51:54.789] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[10:51:54.791] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[10:51:54.809] |T| [open_dir]: _sceIoDopen: Opening dir app0:assets_psvita/ (ux0:/app/PCSE00905/assets_psvita/), fd: 0x3
[10:51:54.812] |T| [read_dir]: _sceIoDread: Reading entry app0:assets_psvita//icons of fd: 0x3
[10:51:54.816] |T| [read_dir]: _sceIoDread: Reading entry app0:assets_psvita//sk1 of fd: 0x3
[10:51:54.818] |T| [read_dir]: _sceIoDread: Reading entry app0:assets_psvita//sk1sound.arc of fd: 0x3
[10:51:54.820] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x3
[10:51:54.846] |W| [unimplemented_impl]: Unimplemented sceGxmSetWarningEnabled import called.
[10:51:54.857] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[10:51:54.867] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[10:51:55.564] |W| [unimplemented_impl]: Unimplemented sceGxmTextureValidate import called.
[10:51:55.614] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[10:51:55.618] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR09742_00/TROPHY.TRP (ux0:/app/PCSE00905/sce_sys/trophy/NPWR09742_00/TROPHY.TRP), fd: 0x4
[10:51:55.621] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR09742_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR09742_00/TROPUSR.DAT), fd: 0x5
[10:51:55.624] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR09742_00/TROPCONF.SFM), fd: 0x6
[10:51:55.625] |T| [write_file]: install_trophy_context: Writing to fd: 0x6, size: 2512
[10:51:55.626] |T| [close_file]: install_trophy_context: Closing file fd: 0x6
[10:51:55.627] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR09742_00/TROP.SFM), fd: 0x7
[10:51:55.629] |T| [write_file]: install_trophy_context: Writing to fd: 0x7, size: 5622
[10:51:55.630] |T| [close_file]: install_trophy_context: Closing file fd: 0x7
[10:51:55.631] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP_00.SFM (ux0:/user/00/trophy/conf/NPWR09742_00/TROP_00.SFM), fd: 0x8
[10:51:55.633] |T| [write_file]: install_trophy_context: Writing to fd: 0x8, size: 7035
[10:51:55.635] |T| [close_file]: install_trophy_context: Closing file fd: 0x8
[10:51:55.636] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/ICON0.PNG), fd: 0x9
[10:51:55.638] |T| [write_file]: install_trophy_context: Writing to fd: 0x9, size: 119334
[10:51:55.639] |T| [close_file]: install_trophy_context: Closing file fd: 0x9
[10:51:55.640] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP000.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP000.PNG), fd: 0xa
[10:51:55.642] |T| [write_file]: install_trophy_context: Writing to fd: 0xa, size: 116508
[10:51:55.643] |T| [close_file]: install_trophy_context: Closing file fd: 0xa
[10:51:55.644] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP001.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP001.PNG), fd: 0xb
[10:51:55.646] |T| [write_file]: install_trophy_context: Writing to fd: 0xb, size: 51312
[10:51:55.647] |T| [close_file]: install_trophy_context: Closing file fd: 0xb
[10:51:55.649] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP002.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP002.PNG), fd: 0xc
[10:51:55.650] |T| [write_file]: install_trophy_context: Writing to fd: 0xc, size: 51312
[10:51:55.652] |T| [close_file]: install_trophy_context: Closing file fd: 0xc
[10:51:55.653] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP003.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP003.PNG), fd: 0xd
[10:51:55.655] |T| [write_file]: install_trophy_context: Writing to fd: 0xd, size: 51312
[10:51:55.656] |T| [close_file]: install_trophy_context: Closing file fd: 0xd
[10:51:55.657] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP004.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP004.PNG), fd: 0xe
[10:51:55.659] |T| [write_file]: install_trophy_context: Writing to fd: 0xe, size: 51312
[10:51:55.660] |T| [close_file]: install_trophy_context: Closing file fd: 0xe
[10:51:55.661] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP005.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP005.PNG), fd: 0xf
[10:51:55.663] |T| [write_file]: install_trophy_context: Writing to fd: 0xf, size: 51312
[10:51:55.665] |T| [close_file]: install_trophy_context: Closing file fd: 0xf
[10:51:55.666] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP006.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP006.PNG), fd: 0x10
[10:51:55.667] |T| [write_file]: install_trophy_context: Writing to fd: 0x10, size: 51312
[10:51:55.668] |T| [close_file]: install_trophy_context: Closing file fd: 0x10
[10:51:55.669] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP007.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP007.PNG), fd: 0x11
[10:51:55.671] |T| [write_file]: install_trophy_context: Writing to fd: 0x11, size: 51312
[10:51:55.672] |T| [close_file]: install_trophy_context: Closing file fd: 0x11
[10:51:55.673] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP008.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP008.PNG), fd: 0x12
[10:51:55.675] |T| [write_file]: install_trophy_context: Writing to fd: 0x12, size: 51312
[10:51:55.676] |T| [close_file]: install_trophy_context: Closing file fd: 0x12
[10:51:55.677] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP009.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP009.PNG), fd: 0x13
[10:51:55.679] |T| [write_file]: install_trophy_context: Writing to fd: 0x13, size: 51312
[10:51:55.680] |T| [close_file]: install_trophy_context: Closing file fd: 0x13
[10:51:55.682] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP010.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP010.PNG), fd: 0x14
[10:51:55.684] |T| [write_file]: install_trophy_context: Writing to fd: 0x14, size: 51312
[10:51:55.685] |T| [close_file]: install_trophy_context: Closing file fd: 0x14
[10:51:55.686] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP011.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP011.PNG), fd: 0x15
[10:51:55.688] |T| [write_file]: install_trophy_context: Writing to fd: 0x15, size: 51312
[10:51:55.689] |T| [close_file]: install_trophy_context: Closing file fd: 0x15
[10:51:55.690] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP012.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP012.PNG), fd: 0x16
[10:51:55.692] |T| [write_file]: install_trophy_context: Writing to fd: 0x16, size: 51312
[10:51:55.694] |T| [close_file]: install_trophy_context: Closing file fd: 0x16
[10:51:55.695] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP013.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP013.PNG), fd: 0x17
[10:51:55.697] |T| [write_file]: install_trophy_context: Writing to fd: 0x17, size: 51312
[10:51:55.698] |T| [close_file]: install_trophy_context: Closing file fd: 0x17
[10:51:55.699] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP014.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP014.PNG), fd: 0x18
[10:51:55.700] |T| [write_file]: install_trophy_context: Writing to fd: 0x18, size: 51312
[10:51:55.701] |T| [close_file]: install_trophy_context: Closing file fd: 0x18
[10:51:55.701] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP015.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP015.PNG), fd: 0x19
[10:51:55.703] |T| [write_file]: install_trophy_context: Writing to fd: 0x19, size: 51312
[10:51:55.703] |T| [close_file]: install_trophy_context: Closing file fd: 0x19
[10:51:55.704] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR09742_00/TROP016.PNG (ux0:/user/00/trophy/conf/NPWR09742_00/TROP016.PNG), fd: 0x1a
[10:51:55.706] |T| [write_file]: install_trophy_context: Writing to fd: 0x1a, size: 51312
[10:51:55.706] |T| [close_file]: install_trophy_context: Closing file fd: 0x1a
