[08:35:53.840] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/SCRIPT_RANGE.CSV
[08:35:53.842] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/SEQUEL_RANGE.CSV
[08:35:53.844] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/TITLE_RANGE.CSV
[08:35:53.846] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/VEDITION_RANGE.CSV
[08:35:53.849] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/RES/en.gxt
[08:35:53.855] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/ALBUM.gxt
[08:35:53.930] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/BGM.gxt
[08:35:54.010] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/DICT.gxt
[08:35:54.191] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/EXTRA.gxt
[08:35:54.288] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/GALLERY.gxt
[08:35:54.394] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/LOG.gxt
[08:35:54.470] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/MEMOIRS_CHAR.gxt
[08:35:54.608] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/MEMOIRS_EVSEL.gxt
[08:35:54.742] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/MEMOIRS_SEASON.gxt
[08:35:54.891] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/MOVIE.gxt
[08:35:54.983] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/NAMEENTRY.gxt
[08:35:55.177] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/OPTION.gxt
