[19:19:09.354] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x1a34b331 sceAtracQueryDecoderGroupMemSize at 0x286efc
[19:19:09.355] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x1bfb98c sceAtracCreateDecoderGroup at 0x286edc
[19:19:09.616] |I| [export_sceIoOpen]: Opening file: app0:data/ccc/ucs2jis.bin
[19:19:09.617] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/ccc/ucs2jis.bin (target path: app0:data/ccc/ucs2jis.bin)
[19:19:09.617] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.618] |I| [export_sceIoOpen]: Opening file: app0:data/ccc/jis2ucs.bin
[19:19:09.618] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/ccc/jis2ucs.bin (target path: app0:data/ccc/jis2ucs.bin)
[19:19:09.619] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.632] |T| [write_file]: *** TTY: PVF> Library instance ID = 0x003d1014
[19:19:09.633] |T| [write_file]: *** TTY: PVF> numFontList=18
[19:19:09.635] |I| [export_sceIoOpen]: Opening file: app0:data/data4.dat
[19:19:09.636] |T| [open_file]: sceIoOpen: Opening file app0:data/data4.dat (ux0:/app/PCSE01187/data/data4.dat), fd: 0xf
[19:19:09.637] |T| [close_file]: sceIoClose: Closing file fd: 0xf
[19:19:09.677] |T| [write_file]: *** TTY: 0x0192 0
[19:19:09.680] |T| [write_file]: *** TTY: PVF> targetFontIndex (JPN) = 4
[19:19:09.683] |I| [export_sceIoOpen]: Opening file: sa0:data/font/pvf/ltn0.pvf
[19:19:09.684] |T| [open_file]: sceIoOpen: Opening file sa0:data/font/pvf/ltn0.pvf (sa0:/data/font/pvf/ltn0.pvf), fd: 0x10
[19:19:09.684] |I| [export_sceClibPrintf]: LIBPVF>>> FILE: sa0:data/font/pvf/ltn0.pvf

[19:19:09.685] |W| [unimplemented_impl]: Unimplemented sceIoIoctl import called.
[19:19:09.686] |T| [close_file]: sceIoClose: Closing file fd: 0x10
[19:19:09.716] |T| [write_file]: *** TTY: 0x0192 1
[19:19:09.975] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/00.png
[19:19:09.975] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/00.png (target path: app0:data/screen/char/00.png)
[19:19:09.976] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.976] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/01.png
[19:19:09.976] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/01.png (target path: app0:data/screen/char/01.png)
[19:19:09.977] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.977] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/02.png
[19:19:09.977] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/02.png (target path: app0:data/screen/char/02.png)
[19:19:09.977] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.977] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/03.png
[19:19:09.978] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/03.png (target path: app0:data/screen/char/03.png)
[19:19:09.978] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.979] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/04.png
[19:19:09.979] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/04.png (target path: app0:data/screen/char/04.png)
[19:19:09.979] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.979] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/05.png
[19:19:09.979] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/05.png (target path: app0:data/screen/char/05.png)
[19:19:09.980] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.980] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/06.png
[19:19:09.980] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/06.png (target path: app0:data/screen/char/06.png)
[19:19:09.980] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.980] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/07.png
[19:19:09.980] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/07.png (target path: app0:data/screen/char/07.png)
[19:19:09.981] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.981] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/08.png
[19:19:09.981] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/08.png (target path: app0:data/screen/char/08.png)
[19:19:09.982] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.982] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/09.png
[19:19:09.982] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/09.png (target path: app0:data/screen/char/09.png)
[19:19:09.983] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.983] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/10.png
[19:19:09.983] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/10.png (target path: app0:data/screen/char/10.png)
[19:19:09.984] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.984] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/11.png
[19:19:09.984] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/11.png (target path: app0:data/screen/char/11.png)
[19:19:09.984] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.985] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/12.png
[19:19:09.986] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/12.png (target path: app0:data/screen/char/12.png)
[19:19:09.986] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.986] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/13.png
[19:19:09.986] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/13.png (target path: app0:data/screen/char/13.png)
[19:19:09.986] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.987] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/14.png
[19:19:09.987] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/14.png (target path: app0:data/screen/char/14.png)
[19:19:09.987] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.987] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/15.png
[19:19:09.987] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/15.png (target path: app0:data/screen/char/15.png)
[19:19:09.987] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.987] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/16.png
[19:19:09.988] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/16.png (target path: app0:data/screen/char/16.png)
[19:19:09.988] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.988] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/17.png
[19:19:09.988] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/17.png (target path: app0:data/screen/char/17.png)
[19:19:09.988] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.988] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/18.png
[19:19:09.989] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/18.png (target path: app0:data/screen/char/18.png)
[19:19:09.989] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.989] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/19.png
[19:19:09.989] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/19.png (target path: app0:data/screen/char/19.png)
[19:19:09.989] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.989] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/20.png
[19:19:09.990] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/20.png (target path: app0:data/screen/char/20.png)
[19:19:09.990] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.990] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/21.png
[19:19:09.990] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/21.png (target path: app0:data/screen/char/21.png)
[19:19:09.990] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.990] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/22.png
[19:19:09.991] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/22.png (target path: app0:data/screen/char/22.png)
[19:19:09.991] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.991] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/23.png
[19:19:09.991] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/23.png (target path: app0:data/screen/char/23.png)
[19:19:09.991] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.991] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/24.png
[19:19:09.991] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/24.png (target path: app0:data/screen/char/24.png)
[19:19:09.992] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.992] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/25.png
[19:19:09.992] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/25.png (target path: app0:data/screen/char/25.png)
[19:19:09.992] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.992] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/26.png
[19:19:09.993] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/26.png (target path: app0:data/screen/char/26.png)
[19:19:09.993] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.993] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/27.png
[19:19:09.993] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/27.png (target path: app0:data/screen/char/27.png)
[19:19:09.993] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.993] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/28.png
[19:19:09.993] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/28.png (target path: app0:data/screen/char/28.png)
[19:19:09.994] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.994] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/29.png
[19:19:09.994] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/29.png (target path: app0:data/screen/char/29.png)
[19:19:09.994] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.994] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/30.png
[19:19:09.995] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/30.png (target path: app0:data/screen/char/30.png)
[19:19:09.995] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.995] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/31.png
[19:19:09.995] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/31.png (target path: app0:data/screen/char/31.png)
[19:19:09.995] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.995] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/32.png
[19:19:09.996] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/32.png (target path: app0:data/screen/char/32.png)
[19:19:09.996] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.996] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/33.png
[19:19:09.996] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/33.png (target path: app0:data/screen/char/33.png)
[19:19:09.996] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.996] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/34.png
[19:19:09.997] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/34.png (target path: app0:data/screen/char/34.png)
[19:19:09.997] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.997] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/35.png
[19:19:09.997] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSE01187/data/screen/char/35.png (target path: app0:data/screen/char/35.png)
[19:19:09.997] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[19:19:09.997] |I| [export_sceIoOpen]: Opening file: app0:data/screen/char/36.png
