[15:09:04.854] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x5
[15:09:04.856] |I| [start_module]: Module MonoAssembliesPSP2 (at "app0:/Media/Modules/MonoAssembliesPSP2.suprx") module_start returned 0x0
[15:09:04.857] |T| [open_file]: _sceKernelLoadStartModule: Opening file app0:/Media/Modules/SUPRXManager.suprx (ux0:/app/PCSE00838/Media/Modules/SUPRXManager.suprx), fd: 0x6
[15:09:04.857] |I| [load_self]: app0:/Media/Modules/SUPRXManager.suprx: Skipping special segment 0x6fffff01...
[15:09:04.857] |I| [load_self]: Loaded module segment 0 @ [0x0123C000 - 0x012416E0 / 0x81000000] (size: 0x000056E0) of module app0:/Media/Modules/SUPRXManager.suprx
[15:09:04.858] |I| [load_self]: Loaded module segment 1 @ [0x01242000 - 0x01242044 / 0x81006000] (size: 0x00000044) of module app0:/Media/Modules/SUPRXManager.suprx
[15:09:04.859] |I| [load_self]: Linking SELF app0:/Media/Modules/SUPRXManager.suprx...
[15:09:04.859] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x1240fb8
[15:09:04.859] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x1241624
[15:09:04.860] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x6
[15:09:04.861] |I| [start_module]: Module SUPRXManager (at "app0:/Media/Modules/SUPRXManager.suprx") module_start returned 0x0
[15:09:04.862] |I| [load_module]: Loading module ID: 0x55
[15:09:04.863] |I| [load_self]: sys/external/libSceJson.suprx: Skipping special segment 0x6fffff01...
[15:09:04.863] |I| [load_self]: Loaded module segment 0 @ [0x01499000 - 0x0149F230 / 0x81000000] (size: 0x00006230) of module sys/external/libSceJson.suprx
[15:09:04.864] |I| [load_self]: Loaded module segment 1 @ [0x01243000 - 0x01243049 / 0x81007000] (size: 0x00000049) of module sys/external/libSceJson.suprx
[15:09:04.865] |I| [load_self]: Linking SELF sys/external/libSceJson.suprx...
[15:09:04.865] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x149f0a8
[15:09:04.865] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x149e020
[15:09:04.866] |I| [load_module]: Module SceLibJson (at "sys/external/libSceJson.suprx") loaded
[15:09:04.867] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x5ed9c0a2 UNRECOGNISED at 0xeda8b8
[15:09:04.870] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x422ae097 UNRECOGNISED at 0xeda7d8
[15:09:04.980] |T| [log_import_call]: [LLE] TID: 66  FUNC: 0xb777bb9e UNRECOGNISED at 0xedadf8
[15:09:05.010] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[15:09:05.011] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[15:09:05.090] |I| [export_sceIoOpen]: Opening file: app0:/archive.psarc
[15:09:05.091] |T| [open_file]: sceIoOpen: Opening file app0:/archive.psarc (ux0:/app/PCSE00838/archive.psarc), fd: 0x7
[15:09:05.104] |T| [close_file]: sceIoClose: Closing file fd: 0x7
[15:09:05.109] |I| [export_sceIoOpen]: Opening file: app0:/archive.psarc
[15:09:05.109] |T| [open_file]: sceIoOpen: Opening file app0:/archive.psarc (ux0:/app/PCSE00838/archive.psarc), fd: 0x8
[15:09:05.135] |I| [export_sceIoOpen]: Opening file: app0:/archive_patch.psarc
[15:09:05.136] |E| [open_file]: Missing file at C:/vita/ux0/app/PCSE00838/archive_patch.psarc (target path: app0:/archive_patch.psarc)
[15:09:05.136] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[15:09:05.142] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media (ux0:/app/PCSE00838/Media), fd: 0x9
[15:09:05.146] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/globalgamemanagers of fd: 0x9
[15:09:05.149] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/globalgamemanagers.assets of fd: 0x9
[15:09:05.150] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed of fd: 0x9
[15:09:05.151] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Modules of fd: 0x9
[15:09:05.151] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins of fd: 0x9
[15:09:05.152] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets0.assets.resS of fd: 0x9
