[07:15:08.449] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x6
[07:15:08.450] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x10, whence: SCE_SEEK_SET
[07:15:08.450] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x6
[07:15:08.451] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x6
[07:15:08.451] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x40, whence: SCE_SEEK_SET
[07:15:08.451] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.452] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.452] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.452] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.452] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.452] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.452] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.453] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.453] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.453] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.453] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.453] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.454] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.454] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x60, whence: SCE_SEEK_SET
[07:15:08.454] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.454] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.454] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x80, whence: SCE_SEEK_SET
[07:15:08.454] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.455] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.455] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.455] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.455] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.455] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.456] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.456] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.456] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.456] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0xA0, whence: SCE_SEEK_SET
[07:15:08.456] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.456] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.457] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0xC0, whence: SCE_SEEK_SET
[07:15:08.457] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.457] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.457] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.457] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.458] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.458] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.458] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.458] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
