oadExec]: sceAppMgrLoadExec run self: app0:GOW2.self
[23:21:00.795] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 36/102
[23:21:00.796] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 37/102
[23:21:00.797] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 38/102
[23:21:00.798] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 39/102
[23:21:00.799] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 40/102
[23:21:00.801] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 41/102
[23:21:00.804] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 42/102
[23:21:00.805] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 43/102
[23:21:00.806] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 44/102
[23:21:00.807] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 45/102
[23:21:00.808] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 46/102
[23:21:00.809] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 47/102
[23:21:00.810] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 48/102
[23:21:00.811] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 49/102
[23:21:00.812] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 50/102
[23:21:00.813] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 51/102
[23:21:00.814] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 52/102
[23:21:00.815] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 53/102
[23:21:00.816] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 54/102
[23:21:00.818] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 55/102
[23:21:00.821] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 56/102
[23:21:00.822] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 57/102
[23:21:00.823] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 58/102
[23:21:00.824] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 59/102
[23:21:00.825] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 60/102
[23:21:00.826] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 61/102
[23:21:00.827] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 62/102
[23:21:00.828] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 63/102
[23:21:00.829] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 64/102
[23:21:00.829] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 65/102
[23:21:00.830] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 66/102
[23:21:00.831] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 67/102
[23:21:00.833] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 68/102
[23:21:00.836] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 69/102
[23:21:00.837] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 70/102
[23:21:00.838] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 71/102
[23:21:00.839] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 72/102
[23:21:00.840] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 73/102
[23:21:00.841] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 74/102
[23:21:00.842] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 75/102
[23:21:00.843] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 76/102
[23:21:00.844] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 77/102
[23:21:00.845] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 78/102
[23:21:00.846] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 79/102
[23:21:00.847] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 80/102
[23:21:00.849] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 81/102
[23:21:00.851] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 82/102
[23:21:00.853] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 83/102
[23:21:00.855] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 84/102
[23:21:00.856] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 85/102
[23:21:00.857] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 86/102
[23:21:00.858] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 87/102
[23:21:00.859] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 88/102
[23:21:00.860] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 89/102
[23:21:00.861] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 90/102
[23:21:00.862] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 91/102
[23:21:00.863] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 92/102
[23:21:00.866] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 93/102
[23:21:00.867] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 94/102
[23:21:00.869] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 95/102
[23:21:00.870] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 96/102
[23:21:00.871] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 97/102
[23:21:00.872] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 98/102
[23:21:00.873] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 99/102
[23:21:00.874] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 100/102
[23:21:00.875] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 101/102
[23:21:00.876] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 102/102
[23:21:00.903] |D| [run_app]: Running module_start of library: SceLibc at address 0x5809
[23:21:01.018] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[23:21:01.019] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[23:21:01.019] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[23:21:01.032] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[23:21:01.039] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x56001
[23:21:01.063] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[23:21:01.064] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[23:21:01.071] |D| [run_app]: Running module_start of library: SceUlt at address 0x8B769
[23:21:01.094] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[23:21:01.095] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[23:21:01.270] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[23:21:01.271] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[23:21:01.393] |I| [export_sceIoOpen]: Opening file: app0:/exec//gow2_psp2_SCEA.psarc
[23:21:01.394] |T| [open_file]: sceIoOpen: Opening file app0:/exec//gow2_psp2_SCEA.psarc (ux0:/app/PCSA00126/exec/gow2_psp2_SCEA.psarc), fd: 0x3
[23:21:01.396] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[23:21:01.398] |T| [write_file]: *** TTY: app0:/exec//gow2_psp2_SCEA.psarc exists; attempting mount....
[23:21:01.434] |I| [export_sceIoOpen]: Opening file: app0:/exec/gow2_psp2_SCEA.psarc
[23:21:01.434] |T| [open_file]: sceIoOpen: Opening file app0:/exec/gow2_psp2_SCEA.psarc (ux0:/app/PCSA00126/exec/gow2_psp2_SCEA.psarc), fd: 0x4
[23:21:01.462] |T| [close_file]: sceIoClose: Closing file fd: 0x4
[23:21:01.473] |I| [export_sceIoOpen]: Opening file: app0:/exec/gow2_psp2_SCEA.psarc
[23:21:01.474] |T| [open_file]: sceIoOpen: Opening file app0:/exec/gow2_psp2_SCEA.psarc (ux0:/app/PCSA00126/exec/gow2_psp2_SCEA.psarc), fd: 0x5
[23:21:01.546] |T| [write_file]: *** TTY: Mounted archive: app0:/exec//gow2_psp2_SCEA.psarc.
[23:21:01.584] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR05283_00/TROPHY.TRP (ux0:/app/PCSA00126/sce_sys/trophy/NPWR05283_00/TROPHY.TRP), fd: 0x6
[23:21:01.588] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR05283_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR05283_00/TROPUSR.DAT), fd: 0x7
[23:21:01.589] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR05283_00/TROPCONF.SFM), fd: 0x8
[23:21:01.590] |T| [write_file]: install_trophy_context: Writing to fd: 0x8, size: 2384
[23:21:01.591] |T| [close_file]: install_trophy_context: Closing file fd: 0x8
[23:21:01.592] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR05283_00/TROP.SFM), fd: 0x9
[23:21:01.594] |T| [write_file]: install_trophy_context: Writing to fd: 0x9, size: 5725
[23:21:01.595] |T| [close_file]: install_trophy_context: Closing file fd: 0x9
