[21:43:13.055] |T| [read_dir]: sceIoDread: Reading dir fd: 0x7
[21:43:13.060] |T| [read_dir]: sceIoDread: Reading dir fd: 0x7
[21:43:13.068] |T| [read_dir]: sceIoDread: Reading dir fd: 0x7
[21:43:13.071] |T| [stat_file]: sceIoDread: Statting file app0:/thumbnail/save_icon0.png (ux0:/app/PCSB00096//thumbnail/save_icon0.png)
[21:43:13.080] |T| [read_dir]: sceIoDread: Reading dir fd: 0x7
[21:43:13.101] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x7
[21:43:13.102] |T| [open_dir]: sceIoDopen: Opening dir app0:/sce_sys (ux0:/app/PCSB00096//sce_sys)
[21:43:13.106] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.170] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.206] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.245] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/about (ux0:/app/PCSB00096//sce_sys/about)
[21:43:13.250] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.266] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/icon0.png (ux0:/app/PCSB00096//sce_sys/icon0.png)
[21:43:13.275] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.319] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/livearea (ux0:/app/PCSB00096//sce_sys/livearea)
[21:43:13.332] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.336] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/manual (ux0:/app/PCSB00096//sce_sys/manual)
[21:43:13.343] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.370] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/param.sfo (ux0:/app/PCSB00096//sce_sys/param.sfo)
[21:43:13.382] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.387] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/pic0.png (ux0:/app/PCSB00096//sce_sys/pic0.png)
[21:43:13.396] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.399] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/retail (ux0:/app/PCSB00096//sce_sys/retail)
[21:43:13.403] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.408] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/trophy (ux0:/app/PCSB00096//sce_sys/trophy)
[21:43:13.418] |T| [read_dir]: sceIoDread: Reading dir fd: 0x8
[21:43:13.421] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x8
[21:43:13.426] |T| [open_dir]: sceIoDopen: Opening dir app0:/sce_sys/trophy (ux0:/app/PCSB00096//sce_sys/trophy)
[21:43:13.434] |T| [read_dir]: sceIoDread: Reading dir fd: 0x9
[21:43:13.436] |T| [read_dir]: sceIoDread: Reading dir fd: 0x9
[21:43:13.440] |T| [read_dir]: sceIoDread: Reading dir fd: 0x9
[21:43:13.445] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/trophy/NPWR03002_00 (ux0:/app/PCSB00096//sce_sys/trophy/NPWR03002_00)
[21:43:13.451] |T| [read_dir]: sceIoDread: Reading dir fd: 0x9
[21:43:13.454] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x9
[21:43:13.459] |T| [open_dir]: sceIoDopen: Opening dir app0:/sce_sys/trophy/NPWR03002_00 (ux0:/app/PCSB00096//sce_sys/trophy/NPWR03002_00)
[21:43:13.471] |T| [read_dir]: sceIoDread: Reading dir fd: 0xA
[21:43:13.474] |T| [read_dir]: sceIoDread: Reading dir fd: 0xA
[21:43:13.477] |T| [read_dir]: sceIoDread: Reading dir fd: 0xA
[21:43:13.483] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/trophy/NPWR03002_00/TROPHY.TRP (ux0:/app/PCSB00096//sce_sys/trophy/NPWR03002_00/TROPHY.TRP)
[21:43:13.488] |T| [read_dir]: sceIoDread: Reading dir fd: 0xA
[21:43:13.491] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xA
[21:43:13.496] |T| [open_dir]: sceIoDopen: Opening dir app0:/sce_sys/retail (ux0:/app/PCSB00096//sce_sys/retail)
[21:43:13.504] |T| [read_dir]: sceIoDread: Reading dir fd: 0xB
[21:43:13.507] |T| [read_dir]: sceIoDread: Reading dir fd: 0xB
[21:43:13.509] |T| [read_dir]: sceIoDread: Reading dir fd: 0xB
[21:43:13.519] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/retail/livearea (ux0:/app/PCSB00096//sce_sys/retail/livearea)
[21:43:13.529] |T| [read_dir]: sceIoDread: Reading dir fd: 0xB
[21:43:13.532] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xB
[21:43:13.535] |T| [open_dir]: sceIoDopen: Opening dir app0:/sce_sys/retail/livearea (ux0:/app/PCSB00096//sce_sys/retail/livearea)
[21:43:13.540] |T| [read_dir]: sceIoDread: Reading dir fd: 0xC
[21:43:13.546] |T| [read_dir]: sceIoDread: Reading dir fd: 0xC
[21:43:13.553] |T| [read_dir]: sceIoDread: Reading dir fd: 0xC
[21:43:13.555] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/retail/livearea/contents (ux0:/app/PCSB00096//sce_sys/retail/livearea/contents)
[21:43:13.565] |T| [read_dir]: sceIoDread: Reading dir fd: 0xC
[21:43:13.568] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xC
[21:43:13.569] |T| [open_dir]: sceIoDopen: Opening dir app0:/sce_sys/retail/livearea/contents (ux0:/app/PCSB00096//sce_sys/retail/livearea/contents)
[21:43:13.574] |T| [read_dir]: sceIoDread: Reading dir fd: 0xD
[21:43:13.591] |T| [read_dir]: sceIoDread: Reading dir fd: 0xD
[21:43:13.597] |T| [read_dir]: sceIoDread: Reading dir fd: 0xD
[21:43:13.601] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/retail/livearea/contents/store_button_B.png (ux0:/app/PCSB00096//sce_sys/retail/livearea/contents/store_button_B.png)
[21:43:13.607] |T| [read_dir]: sceIoDread: Reading dir fd: 0xD
[21:43:13.617] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/retail/livearea/contents/template.xml (ux0:/app/PCSB00096//sce_sys/retail/livearea/contents/template.xml)
[21:43:13.625] |T| [read_dir]: sceIoDread: Reading dir fd: 0xD
[21:43:13.630] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/retail/livearea/contents/TitleMenu_BGD.png (ux0:/app/PCSB00096//sce_sys/retail/livearea/contents/TitleMenu_BGD.png)
[21:43:13.641] |T| [read_dir]: sceIoDread: Reading dir fd: 0xD
[21:43:13.645] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/retail/livearea/contents/TitleMenu_Logo_2.png (ux0:/app/PCSB00096//sce_sys/retail/livearea/contents/TitleMenu_Logo_2.png)
[21:43:13.652] |T| [read_dir]: sceIoDread: Reading dir fd: 0xD
[21:43:13.655] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xD
[21:43:13.658] |T| [open_dir]: sceIoDopen: Opening dir app0:/sce_sys/manual (ux0:/app/PCSB00096//sce_sys/manual)
[21:43:13.670] |T| [read_dir]: sceIoDread: Reading dir fd: 0xE
[21:43:13.673] |T| [read_dir]: sceIoDread: Reading dir fd: 0xE
[21:43:13.676] |T| [read_dir]: sceIoDread: Reading dir fd: 0xE
[21:43:13.683] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/manual/001.png (ux0:/app/PCSB00096//sce_sys/manual/001.png)
[21:43:13.690] |T| [read_dir]: sceIoDread: Reading dir fd: 0xE
[21:43:13.693] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/manual/002.png (ux0:/app/PCSB00096//sce_sys/manual/002.png)
[21:43:13.702] |T| [read_dir]: sceIoDread: Reading dir fd: 0xE
[21:43:13.705] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/manual/003.png (ux0:/app/PCSB00096//sce_sys/manual/003.png)
[21:43:13.717] |T| [read_dir]: sceIoDread: Reading dir fd: 0xE
[21:43:13.720] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/manual/004.png (ux0:/app/PCSB00096//sce_sys/manual/004.png)
[21:43:13.729] |T| [read_dir]: sceIoDread: Reading dir fd: 0xE
[21:43:13.735] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys/manual/005.png (ux0:/app/PCSB00096//sce_sys/manual/005.png)
[21:43:13.741] |T| [read_dir]: sceIoDread: Reading dir fd: 0xE
