[18:56:14.881] |T| [write_file]: *** TTY: ....get handle[5]
[18:56:14.881] |T| [export_sceNgsPatchCreateRouting]: Patching 0x3A3E3C:0:0 to 0x3A2300:0
[18:56:14.881] |T| [write_file]: *** TTY: ....connected Racks[5]
[18:56:14.882] |T| [write_file]: *** TTY: ....get handle[6]
[18:56:14.882] |T| [export_sceNgsPatchCreateRouting]: Patching 0x3A4358:0:0 to 0x3A2300:0
[18:56:14.882] |T| [write_file]: *** TTY: ....connected Racks[6]
[18:56:14.882] |T| [write_file]: *** TTY: ....get handle[7]
[18:56:14.883] |T| [export_sceNgsPatchCreateRouting]: Patching 0x3A4874:0:0 to 0x3A2300:0
[18:56:14.883] |T| [write_file]: *** TTY: ....connected Racks[7]
[18:56:14.885] |T| [write_file]: *** TTY: <glTexture::make_blank> 8,8
[18:56:14.890] |T| [write_file]: *** TTY: MidFuncQueue::start.
[18:56:14.923] |T| [write_file]: *** TTY: open -> res/sys/card.gxt
[18:56:14.930] |T| [write_file]: *** TTY: open -> res/font.fnt
[18:56:14.959] |T| [write_file]: *** TTY: gxt(256,256)
[18:56:14.959] |T| [write_file]: *** TTY: info->format=U8U8U8U8_ARGB
[18:56:14.960] |T| [write_file]: *** TTY:  -> ARGB.
[18:56:14.971] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[18:56:14.973] |T| [write_file]: *** TTY: <glTexture::make_blank> 8,32
[18:56:14.974] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR15138_00/TROPHY.TRP (ux0:/app/PCSG01192/sce_sys/trophy/NPWR15138_00/TROPHY.TRP), fd: 0x9
[18:56:14.975] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR15138_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR15138_00/TROPUSR.DAT), fd: 0xa
[18:56:14.976] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR15138_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR15138_00/TROPCONF.SFM), fd: 0xb
[18:56:14.976] |T| [write_file]: install_trophy_context: Writing to fd: 0xb, size: 2255
[18:56:14.977] |T| [close_file]: install_trophy_context: Closing file fd: 0xb
[18:56:14.978] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR15138_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR15138_00/TROP.SFM), fd: 0xc
[18:56:14.979] |T| [write_file]: install_trophy_context: Writing to fd: 0xc, size: 6448
[18:56:14.979] |T| [close_file]: install_trophy_context: Closing file fd: 0xc
[18:56:14.980] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR15138_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR15138_00/ICON0.PNG), fd: 0xd
[18:56:14.980] |T| [write_file]: install_trophy_context: Writing to fd: 0xd, size: 116314
[18:56:14.981] |T| [close_file]: install_trophy_context: Closing file fd: 0xd
[18:56:14.982] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR15138_00/TROP000.PNG (ux0:/user/00/trophy/conf/NPWR15138_00/TROP000.PNG), fd: 0xe
[18:56:14.983] |T| [write_file]: install_trophy_context: Writing to fd: 0xe, size: 170353
[18:56:14.983] |T| [close_file]: install_trophy_context: Closing file fd: 0xe
[18:56:14.985] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR15138_00/TROP001.PNG (ux0:/user/00/trophy/conf/NPWR15138_00/TROP001.PNG), fd: 0xf
[18:56:14.985] |T| [write_file]: install_trophy_context: Writing to fd: 0xf, size: 166008
[18:56:14.986] |T| [close_file]: install_trophy_context: Closing file fd: 0xf
