[21:59:02.316] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP_18.SFM (ux0:/user/00/trophy/conf/NPWR13366_00/TROP_18.SFM), fd: 0xc
[21:59:02.319] |T| [write_file]: install_trophy_context: Writing to fd: 0xc, size: 5257
[21:59:02.321] |T| [close_file]: install_trophy_context: Closing file fd: 0xc
[21:59:02.322] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR13366_00/ICON0.PNG), fd: 0xd
[21:59:02.323] |T| [write_file]: install_trophy_context: Writing to fd: 0xd, size: 99389
[21:59:02.324] |T| [close_file]: install_trophy_context: Closing file fd: 0xd
[21:59:02.326] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP000.PNG (ux0:/user/00/trophy/conf/NPWR13366_00/TROP000.PNG), fd: 0xe
[21:59:02.327] |T| [write_file]: *** TTY: Received core callback 0
[21:59:02.327] |T| [write_file]: install_trophy_context: Writing to fd: 0xe, size: 73961
[21:59:02.331] |T| [close_file]: install_trophy_context: Closing file fd: 0xe
[21:59:02.330] |T| [write_file]: *** TTY: Received core callback 2
[21:59:02.333] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP001.PNG (ux0:/user/00/trophy/conf/NPWR13366_00/TROP001.PNG), fd: 0xf
[21:59:02.336] |T| [write_file]: install_trophy_context: Writing to fd: 0xf, size: 68240
[21:59:02.337] |T| [close_file]: install_trophy_context: Closing file fd: 0xf
[21:59:02.338] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP002.PNG (ux0:/user/00/trophy/conf/NPWR13366_00/TROP002.PNG), fd: 0x10
[21:59:02.340] |T| [write_file]: install_trophy_context: Writing to fd: 0x10, size: 67115
[21:59:02.341] |T| [close_file]: install_trophy_context: Closing file fd: 0x10
[21:59:02.342] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP003.PNG (ux0:/user/00/trophy/conf/NPWR13366_00/TROP003.PNG), fd: 0x11
