[20:45:48.523] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.524] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.524] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.524] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.525] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.525] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.525] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.526] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.526] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.527] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.527] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.527] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.528] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.528] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.529] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.529] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.530] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.530] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.531] |T| [close_dir]:  sceIoDclose: Closing dir fd: 0x6
[20:45:48.532] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.535] |T| [open_dir]:  sceIoDopen: Opening dir ux0:/data/realboy (ux0:/data/realboy)
[20:45:48.536] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x7
[20:45:48.536] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x7
[20:45:48.536] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x7
[20:45:48.537] |T| [close_dir]:  sceIoDclose: Closing dir fd: 0x7
[20:45:48.537] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.539] |T| [stat_file]:  sceIoGetstatByFd: Statting file ux0:/GameBoy ROMS/Metal Gear Solid (USA).gbc (ux0:/GameBoy ROMS/Metal Gear Solid (USA).gbc)
[20:45:48.540] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.541] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.541] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.542] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.542] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.543] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.543] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.543] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.545] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.545] |W| [io_error_impl]:  write_file (sceIoWrite) returned 0xFFFFFFFF
[20:45:48.547] |I| [export_sceIoOpen]:  Opening file: ux0:/data/realboy/saves/Metal Gear Solid (USA).sav
[20:45:48.547] |T| [open_file]:  sceIoOpen: Opening file ux0:/data/realboy/saves/Metal Gear Solid (USA).sav (ux0:/data/realboy/saves/Metal Gear Solid (USA).sav)
[20:45:48.560] |T| [stat_file]:  sceIoGetstatByFd: Statting file ux0:/data/realboy/saves/Metal Gear Solid (USA).sav (ux0:/data/realboy/saves/Metal Gear Solid (USA).sav)
[20:45:48.561] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 1024
[20:45:48.562] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 1024
[20:45:48.562] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 1024
[20:45:48.563] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 1024
[20:45:48.563] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 1024
[20:45:48.565] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 1024
[20:45:48.565] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 1024
[20:45:48.566] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 1024
[20:45:48.568] |T| [seek_file]:  sceIoLseek32: Seeking file: fd: 0x5 at offset: 0x0, whence: SCE_SEEK_CUR
[20:45:48.569] |T| [seek_file]:  sceIoLseek32: Seeking file: fd: 0x5 at offset: 0x4000, whence: SCE_SEEK_SET
[20:45:48.570] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.570] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.571] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.572] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.572] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.573] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.574] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.575] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.576] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.576] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.577] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.577] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.578] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.578] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.579] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.579] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.580] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.581] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[20:45:48.581] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
