[03:31:52.800] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.800] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.800] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.801] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.801] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.801] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.802] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.802] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.802] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.803] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.803] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.803] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.804] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.804] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.804] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.805] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.805] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.805] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.806] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.806] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.806] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.807] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.807] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.809] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.810] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.810] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.810] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.810] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.811] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.811] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.811] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.812] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.812] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.812] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.813] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.813] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.813] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.814] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.814] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.814] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.814] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.815] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.815] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.815] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.816] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.816] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.816] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.817] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.817] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.818] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.818] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.820] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.820] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.821] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.821] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.821] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.822] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.822] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.822] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.823] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.823] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.823] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.823] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.824] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.824] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.824] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.825] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.825] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.825] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.826] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.826] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.826] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.827] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.827] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.827] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.827] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.828] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.828] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.828] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.831] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.831] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.831] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.832] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.832] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.832] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.833] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.833] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.833] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.834] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.834] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.834] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.835] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.835] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.835] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.836] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.836] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.836] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.837] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.837] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.837] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.838] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.838] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.838] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.839] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.839] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:31:52.840] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:31:52.848] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8192
[03:31:52.873] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:31:52.874] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:31:52.875] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 2788
[03:31:52.885] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:31:52.886] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:31:52.886] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:31:52.927] |T| [close_file]:  sceIoClose: Closing file: fd: 0x4
[03:31:52.932] |I| [export_sceIoOpen]:  Opening file: ux0:/data/GenesisPlusGXVita/buttons.cnf
[03:31:52.933] |T| [open_file]:  sceIoOpen: Opening file ux0:/data/GenesisPlusGXVita/buttons.cnf (ux0:/data/GenesisPlusGXVita/buttons.cnf)
