|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:32:54.965] |I| [export_sceIoOpen]: Opening file: app0:/rc1/psp2data/rc1.psarc
[10:32:54.965] |T| [open_file]: sceIoOpen: Opening file app0:/rc1/psp2data/rc1.psarc (ux0:/app/PCSF00482/rc1/psp2data/rc1.psarc), fd: 0x4
[10:32:54.973] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:54.973] |E| [open_file]: Cannot find device for path: tty3:
[10:32:54.974] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.030] |I| [export_sceIoOpen]: Opening file: app0:/rc1/psp2data/rc1.psarc
[10:32:55.030] |T| [open_file]: sceIoOpen: Opening file app0:/rc1/psp2data/rc1.psarc (ux0:/app/PCSF00482/rc1/psp2data/rc1.psarc), fd: 0x5
[10:32:55.055] |T| [close_file]: sceIoClose: Closing file fd: 0x5
[10:32:55.067] |I| [export_sceIoOpen]: Opening file: app0:/rc1/psp2data/rc1.psarc
[10:32:55.067] |T| [open_file]: sceIoOpen: Opening file app0:/rc1/psp2data/rc1.psarc (ux0:/app/PCSF00482/rc1/psp2data/rc1.psarc), fd: 0x6
[10:32:55.150] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.150] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.151] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.151] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.152] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.152] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.302] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[10:32:55.303] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[10:32:55.357] |T| [write_file]: *** TTY: F3DMemoryAllocate    1.2M
[10:32:55.382] |T| [write_file]: *** TTY: F3DMemoryAllocate    1.2M
[10:32:55.383] |T| [write_file]: *** TTY: F3DMemoryAllocate    1.2M
[10:32:55.385] |T| [write_file]: *** TTY: F3DMemoryAllocate    1.2M
[10:32:55.396] |T| [write_file]: *** TTY: F3DMemoryAllocate      1K
[10:32:55.397] |T| [write_file]: *** TTY: F3DMemoryAllocate      32
