|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:36:44.166] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.170] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.172] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.193] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.196] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.200] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.203] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.206] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.226] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.229] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.234] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.238] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.241] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.259] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.261] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.264] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.268] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.270] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.293] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.295] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.300] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.303] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.306] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.326] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.329] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.333] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.337] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.339] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.359] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.361] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.364] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.368] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.371] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.393] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.396] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.400] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.404] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.407] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.408] |T| [write_file]: *** TTY: m_LoadGameFile pMon->base[index]
[10:36:44.408] |I| [export_sceIoOpen]: Opening file: tty3:
[10:36:44.409] |E| [open_file]: Cannot find device for path: tty3:
[10:36:44.410] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:36:44.411] |T| [write_file]: *** TTY: DEBUG: LoadFileSync (rc1/psp2data/global/options_ss/options_ss[2].ps3) opened [1744919]
[10:36:44.412] |I| [export_sceIoOpen]: Opening file: tty3:
[10:36:44.413] |E| [open_file]: Cannot find device for path: tty3:
[10:36:44.413] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:36:44.414] |T| [write_file]: *** TTY: DEBUG: LoadFileSync (rc1/psp2data/global/options_ss/options_ss[2].vram) opened [1753112]
[10:36:44.426] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.429] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.434] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.437] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.440] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.459] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.462] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.467] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.470] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.473] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.493] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.496] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.500] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.503] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.506] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.526] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.528] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.531] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.535] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.538] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.559] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.562] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.566] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.570] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.573] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.592] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.595] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.597] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.601] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.604] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.626] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.629] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.633] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.636] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.639] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.659] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.662] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.664] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.668] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.670] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.692] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.694] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.697] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.701] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.704] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.726] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.728] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.730] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.734] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.737] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.759] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.761] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.764] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.768] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.771] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.792] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.795] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.797] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.801] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.804] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.826] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.829] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.833] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.837] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.840] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.859] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.862] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.864] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.868] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.870] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.892] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.895] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.897] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.901] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.903] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.925] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.928] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.930] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.934] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.937] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.959] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.961] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.964] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.968] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.970] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.992] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.994] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:44.997] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.002] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.005] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.026] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.029] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.031] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.034] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.037] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.059] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.062] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.064] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.068] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.071] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.092] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.094] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.097] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.101] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.104] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.125] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.128] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.130] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.135] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.138] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.159] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.162] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.164] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.168] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.171] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.192] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.195] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.197] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.201] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.203] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.226] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.228] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.231] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.234] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.237] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.259] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.261] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.264] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.267] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.270] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.292] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.295] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.297] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.301] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.304] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.326] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.329] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.330] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.334] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.337] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.359] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.361] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.364] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.368] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.370] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.392] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.395] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.397] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.401] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.404] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.426] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.429] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.431] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.435] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.438] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.459] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.462] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.464] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.468] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.471] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.493] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.496] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.500] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.503] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.506] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.526] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.529] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.534] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.537] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.539] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.559] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.562] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.566] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.570] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.572] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.592] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.594] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.596] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.601] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.604] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.626] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.629] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.631] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.635] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.638] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.659] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.662] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.664] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.668] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.671] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.692] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.695] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.697] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.703] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.705] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.726] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.729] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.733] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.736] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.739] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.759] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.762] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.764] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.768] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.771] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.792] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.795] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.798] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.801] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.804] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.826] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.829] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.833] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.837] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.840] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.859] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.862] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.867] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.870] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.874] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.892] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.894] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.897] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.901] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.904] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.926] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.928] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.931] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.934] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.937] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.959] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.962] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.964] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.968] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.970] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.992] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.995] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:45.997] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.001] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.004] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.026] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.029] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.034] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.037] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.040] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.059] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.061] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.064] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.067] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:46.070] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
