[04:46:00.324] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[04:46:00.339] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[04:46:00.339] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[04:46:00.348] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[04:46:00.598] |W| [stubbed_impl]: Stubbed sceKernelGetFreeMemorySize import called. (Single pool)
[04:46:00.599] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[04:46:00.599] |T| [open_file]: _sceKernelLoadStartModule: Opening file app0:/Media/Modules/pthread.suprx (ux0:/app/PCSG00684/Media/Modules/pthread.suprx), fd: 0x3
[04:46:00.601] |I| [load_self]: app0:/Media/Modules/pthread.suprx: Skipping special segment 0x6fffff01...
[04:46:00.601] |I| [load_self]: Loaded module segment 0 @ [0x04A36000 - 0x04A3CC9C / 0x81000000] (size: 0x00006C9C) of module app0:/Media/Modules/pthread.suprx
[04:46:00.602] |I| [load_self]: Loaded module segment 1 @ [0x04615000 - 0x04617178 / 0x81007000] (size: 0x00002178) of module app0:/Media/Modules/pthread.suprx
[04:46:00.604] |I| [load_self]: Linking SELF app0:/Media/Modules/pthread.suprx...
[04:46:00.604] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x4a3b7e4
[04:46:00.605] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a3cc98
[04:46:00.606] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x3
[04:46:00.607] |I| [start_module]: Module PTHREAD_PRX (at "app0:/Media/Modules/pthread.suprx") module_start returned 0x0
[04:46:00.608] |I| [load_module]: Loading module ID: 0x55
[04:46:00.609] |I| [load_self]: sys/external/libSceJson.suprx: Skipping special segment 0x6fffff01...
[04:46:00.610] |I| [load_self]: Loaded module segment 0 @ [0x04A3D000 - 0x04A43230 / 0x81000000] (size: 0x00006230) of module sys/external/libSceJson.suprx
[04:46:00.612] |I| [load_self]: Loaded module segment 1 @ [0x0471D000 - 0x0471D049 / 0x81007000] (size: 0x00000049) of module sys/external/libSceJson.suprx
[04:46:00.613] |I| [load_self]: Linking SELF sys/external/libSceJson.suprx...
[04:46:00.614] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a430a8
[04:46:00.615] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x4a42020
[04:46:00.615] |I| [load_module]: Module SceLibJson (at "sys/external/libSceJson.suprx") loaded
[04:46:00.616] |T| [open_file]: _sceKernelLoadStartModule: Opening file app0:/Media/Modules/SUPRXManager.suprx (ux0:/app/PCSG00684/Media/Modules/SUPRXManager.suprx), fd: 0x4
[04:46:00.618] |I| [load_self]: app0:/Media/Modules/SUPRXManager.suprx: Skipping special segment 0x6fffff01...
[04:46:00.618] |I| [load_self]: Loaded module segment 0 @ [0x04A44000 - 0x04A496E0 / 0x81000000] (size: 0x000056E0) of module app0:/Media/Modules/SUPRXManager.suprx
[04:46:00.619] |I| [load_self]: Loaded module segment 1 @ [0x0471E000 - 0x0471E044 / 0x81006000] (size: 0x00000044) of module app0:/Media/Modules/SUPRXManager.suprx
[04:46:00.620] |I| [load_self]: Linking SELF app0:/Media/Modules/SUPRXManager.suprx...
[04:46:00.621] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x4a48fb8
[04:46:00.622] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a49624
[04:46:00.623] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x4
[04:46:00.625] |I| [start_module]: Module SUPRXManager (at "app0:/Media/Modules/SUPRXManager.suprx") module_start returned 0x0
[04:46:00.627] |T| [open_file]: _sceKernelLoadStartModule: Opening file app0:/Media/Modules/mono-vita.suprx (ux0:/app/PCSG00684/Media/Modules/mono-vita.suprx), fd: 0x5
[04:46:00.633] |I| [load_self]: app0:/Media/Modules/mono-vita.suprx: Skipping special segment 0x6fffff01...
[04:46:00.634] |I| [load_self]: Loaded module segment 0 @ [0x04A4A000 - 0x04C9DC94 / 0x81000000] (size: 0x00253C94) of module app0:/Media/Modules/mono-vita.suprx
[04:46:00.636] |I| [load_self]: Loaded module segment 1 @ [0x04C9E000 - 0x04D05D10 / 0x81254000] (size: 0x00067D10) of module app0:/Media/Modules/mono-vita.suprx
[04:46:00.637] |I| [load_self]: Linking SELF app0:/Media/Modules/mono-vita.suprx...
