[11:25:10.458] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x775a0cb2 malloc at 0x811f1ea8
[11:25:10.461] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x7205bfdb memcpy at 0x811f1e78
[11:25:10.462] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x774c2c05 sceFiosInitialize at 0x811f11e8
[11:25:10.494] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[11:25:10.495] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[11:25:10.549] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xa9363e6b memalign at 0x811f1f58
[11:25:10.552] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xd55b8555 sceFiosIOFilterAdd at 0x811f1298
[11:25:10.553] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x57252f2 sceFiosIOFilterPsarcDearchiver at 0x811f1158
[11:25:10.604] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_ULT
[11:25:10.604] |I| [load_module]: Loading module "app0:sce_module/libult.suprx"
[11:25:10.612] |I| [load_self]: Loaded module segment 0 @ [0x05023000 - 0x05037144 / 0x81000000] (size: 0x00014144) of module app0:sce_module/libult.suprx
[11:25:10.614] |I| [load_self]: Loaded module segment 1 @ [0x048B7000 - 0x048B7814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[11:25:10.615] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[11:25:10.616] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x50331cc
[11:25:10.617] |I| [load_module]: Module SceUlt (at "app0:sce_module/libult.suprx") loaded
[11:25:10.618] |D| [start_module]: Running module_start of library: SceUlt at address 0x502684d
[11:25:10.643] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[11:25:10.644] |I| [start_module]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[11:25:10.648] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x5435c586 sceUltUlthreadRuntimeGetWorkAreaSize at 0x811f1038
[11:25:10.650] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xe7fb2bf4 _Znaj at 0x811f21a8
[11:25:10.651] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x86dda3ae _sceUltUlthreadRuntimeCreate at 0x811f1058
[11:25:10.684] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[11:25:10.739] |E| [call_import]: Import function for NID 0xd7f0f610 not found (thread name: PCSB00515, thread ID: 6)
[11:25:10.742] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[11:25:10.788] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_SYSTEM_GESTURE
[11:25:10.789] |I| [load_module]: Loading module "vs0:sys/external/libsystemgesture.suprx"
[11:25:10.793] |I| [load_self]: vs0:sys/external/libsystemgesture.suprx: Skipping special segment 0x6fffff01...
[11:25:10.794] |I| [load_self]: Loaded module segment 0 @ [0x05349000 - 0x0534C08C / 0x81000000] (size: 0x0000308C) of module vs0:sys/external/libsystemgesture.suprx
[11:25:10.795] |I| [load_self]: Loaded module segment 1 @ [0x0534D000 - 0x0534DBF0 / 0x81004000] (size: 0x00000BF0) of module vs0:sys/external/libsystemgesture.suprx
[11:25:10.796] |I| [load_self]: Linking SELF vs0:sys/external/libsystemgesture.suprx...
[11:25:10.797] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x534c074
[11:25:10.797] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x534bbd4
[11:25:10.798] |I| [load_module]: Module SceSystemGesture (at "vs0:sys/external/libsystemgesture.suprx") loaded
[11:25:10.800] |D| [start_module]: Running module_start of library: SceSystemGesture at address 0x5349001
[11:25:10.826] |I| [start_module]: Module SceSystemGesture (at "vs0:sys/external/libsystemgesture.suprx") module_start returned 0x0
[11:25:10.832] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x6078a08b sceSystemGestureInitializePrimitiveTouchRecognizer at 0x811f1408
[11:25:10.834] |W| [stubbed_impl]: Stubbed sceTouchGetPixelDensity2 import called. (Return constant values (22.0))
[11:25:10.834] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xc3367370 sceSystemGestureCreateTouchRecognizer at 0x811f1448
[11:25:10.854] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x7747f6d7 memcmp at 0x811f1e98
[11:25:10.872] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_SCREEN_SHOT
[11:25:10.873] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[11:25:10.875] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_APPUTIL
[11:25:10.876] |W| [unimplemented_impl]: Unimplemented sceCommonDialogSetConfigParam import called.
[11:25:10.876] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_IME
[11:25:10.880] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_HTTPS
[11:25:10.881] |I| [load_module]: Loading module "vs0:sys/external/libhttp.suprx"
[11:25:10.889] |I| [load_self]: vs0:sys/external/libhttp.suprx: Skipping special segment 0x6fffff01...
[11:25:10.890] |I| [load_self]: Loaded module segment 0 @ [0x0534E000 - 0x0536B150 / 0x81000000] (size: 0x0001D150) of module vs0:sys/external/libhttp.suprx
[11:25:10.891] |I| [load_self]: Loaded module segment 1 @ [0x0536C000 - 0x0536C640 / 0x8101E000] (size: 0x00000640) of module vs0:sys/external/libhttp.suprx
[11:25:10.893] |I| [load_self]: Linking SELF vs0:sys/external/libhttp.suprx...
[11:25:10.895] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x5369e68
[11:25:10.896] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x5366ca0
[11:25:10.897] |I| [load_module]: Module SceLibHttp (at "vs0:sys/external/libhttp.suprx") loaded
[11:25:10.898] |D| [start_module]: Running module_start of library: SceLibHttp at address 0x53572e5
[11:25:10.924] |I| [start_module]: Module SceLibHttp (at "vs0:sys/external/libhttp.suprx") module_start returned 0x0
[11:25:10.929] |I| [load_module]: Loading module "vs0:sys/external/libssl.suprx"
[11:25:10.954] |I| [load_self]: Loaded module segment 0 @ [0x063E5000 - 0x0644BEA4 / 0x81000000] (size: 0x00066EA4) of module vs0:sys/external/libssl.suprx
[11:25:10.955] |I| [load_self]: Loaded module segment 1 @ [0x0536D000 - 0x05372188 / 0x81067000] (size: 0x00005188) of module vs0:sys/external/libssl.suprx
[11:25:10.957] |I| [load_self]: Linking SELF vs0:sys/external/libssl.suprx...
[11:25:10.958] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x64379b0
[11:25:10.959] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x6431c70
[11:25:10.960] |I| [load_module]: Module SceLibSsl (at "vs0:sys/external/libssl.suprx") loaded
[11:25:10.962] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NP
[11:25:10.963] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NP_UTILITY
[11:25:10.965] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x3c733316 sceSslInit at 0x811f1138
[11:25:10.970] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x214926d9 sceHttpInit at 0x811f1148
[11:25:10.973] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_PHOTO_EXPORT
[11:25:10.974] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xdae8d60f time at 0x811f1fd8
[11:25:10.977] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x3aad41b0 srand at 0x811f1e28
[11:25:10.997] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xfe83f2e4 vsnprintf at 0x811f2068
[11:25:10.999] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x8aecc873 strlen at 0x811f1ee8
[11:25:11.001] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x9f87712d strncpy at 0x811f1f18
[11:25:11.147] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x93fc85ed _FSinx at 0x811f2118
[11:25:11.150] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x56473bc7 expf at 0x811f20c8
[11:25:11.154] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NET
[11:25:11.155] |W| [stubbed_impl]: Stubbed sceNetCtlInit import called. (Stub)
[11:25:11.156] |W| [unimplemented_impl]: Unimplemented sceNpLookupInit import called.
[11:25:11.157] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NP_TROPHY
[11:25:11.161] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR06233_00/TROPHY.TRP (ux0:/app/PCSB00515/sce_sys/trophy/NPWR06233_00/TROPHY.TRP), fd: 0x4
[11:25:11.166] |E| [open_file]: Missing file at C:/Users/neptunialover/AppData/Roaming/Vita3K/Vita3K/ux0/user/00/trophy/data/NPWR06233_00/TROPUSR.DAT (target path: ux0:/user/00/trophy/data/NPWR06233_00/TROPUSR.DAT)
[11:25:11.168] |W| [io_error_impl]: open_file (create_trophy_context) returned 0x80010002
[11:25:11.176] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR06233_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR06233_00/TROPCONF.SFM), fd: 0x5
[11:25:11.178] |T| [write_file]: install_trophy_context: Writing to fd: 0x5, size: 2612
[11:25:11.179] |T| [close_file]: install_trophy_context: Closing file fd: 0x5
[11:25:11.183] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR06233_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR06233_00/TROP.SFM), fd: 0x6
[11:25:11.184] |T| [write_file]: install_trophy_context: Writing to fd: 0x6, size: 7654
[11:25:11.185] |T| [close_file]: install_trophy_context: Closing file fd: 0x6
[11:25:11.188] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR06233_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR06233_00/ICON0.PNG), fd: 0x7
[11:25:11.191] |T| [write_file]: install_trophy_context: Writing to fd: 0x7, size: 107445
[11:25:11.192] |T| [close_file]: install_trophy_context: Closing file fd: 0x7
